fast_ema,slow_ema,rsi_threshold,return_pct,sharpe,win_rate,max_dd,trades
20,50,65,0.002398801006442045,0.5846675334287972,1.0,0.0014060656067236916,1
20,50,75,0.0015898075070144842,0.19616709532174673,0.5,0.004348825484682774,6
20,50,70,9.702271175374335e-05,0.015305713771170085,0.4,0.004454881127260203,5
8,50,65,-0.00025902049288179115,-0.04739216312941296,0.25,0.002620024348507427,8
20,26,70,-0.0004912132124980417,-0.06481717022679746,0.3333333333333333,0.0033404453165163488,9
20,26,75,-0.0004912132124980417,-0.06481717022679746,0.3333333333333333,0.0033404453165163488,9
12,50,75,-0.0005980955259305119,-0.06591325814920118,0.3,0.004873593674575512,10
8,50,70,-0.0006483736139112807,-0.07169455226606371,0.2727272727272727,0.004542335884692707,11
8,50,75,-0.0006483736139112807,-0.07169455226606371,0.2727272727272727,0.004542335884692707,11
12,50,65,-0.0003371070392015099,-0.07646907499791669,0.16666666666666666,0.002713587979252541,6
20,21,70,-0.0011146276413865053,-0.15025192775724647,0.4,0.002685329065902692,10
20,21,75,-0.0011146276413865053,-0.15025192775724647,0.4,0.002685329065902692,10
12,50,70,-0.0010425327424258284,-0.15106346109919208,0.25,0.005704581809492225,8
20,26,65,-0.0009020084276240596,-0.18651822532443105,0.2857142857142857,0.0024375446253113633,7
20,21,65,-0.002084456183200564,-0.336762579007431,0.25,0.003362836850026632,8
8,21,70,-0.0034902915028982534,-0.47635800504147574,0.375,0.004811552805959342,16
8,21,75,-0.003820371730714032,-0.5158476049252324,0.35294117647058826,0.005141195384017973,17
12,26,75,-0.003918827862830221,-0.5178799188470397,0.4,0.003918827862830221,15
12,21,75,-0.0037359075559954364,-0.5359320579798956,0.35714285714285715,0.0041733536867293065,14
12,26,65,-0.0038278983770054765,-0.5454520156064172,0.38461538461538464,0.003900178450734711,13
8,26,75,-0.004155492446484641,-0.565785995827401,0.3333333333333333,0.004653149591703896,15
8,26,70,-0.004331642304922571,-0.6040762598340145,0.2857142857142857,0.004829211422106307,14
12,26,70,-0.00432276693382737,-0.6085323784529243,0.35714285714285715,0.00432276693382737,14
8,21,65,-0.0042404578151621535,-0.6475938691139472,0.2857142857142857,0.004650625850575923,14
12,21,70,-0.004311877741917851,-0.6871178113904163,0.25,0.004311877741917851,12
12,21,65,-0.004567004863614784,-0.761058493263777,0.18181818181818182,0.004567004863614784,11
8,26,65,-0.005409881558699635,-0.8432444434605945,0.16666666666666666,0.0059069118432997425,12
